id,price,price_display,frequency,property_type,bedrooms,bathrooms,address,summary,property_url,contact_url,branch,branch_id,added_or_reduced,first_visible_date,let_type,postcode,search_date,letting_details,property_size_sqft,property_size_sqm,scraping_success,scraping_error
165797582,1500,"£1,500 pcm",monthly,Flat,1,1.0,"Barking Road, Plaistow, E13","SPACIOUS 1 BEDROOM GROUND FLOOR FLAT - DOUBLE BEDROOM - SEPARATE RECEPTION ROOM - KITCHEN DINER - CLOSE TO PLAISTOW AND UPTON PARK STATION - READY TO MOVE - £1,500 PCM",https://www.rightmove.co.uk/properties/165797582#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=165797582,"ARQ HOMES, East Ham",82585,Added on 15/08/2025,2025-08-15T13:35:32Z,,E13,2025-10-15T18:17:09.444066,"{'let available date': 'Now', 'deposit': '£1,730A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,
167913068,1500,"£1,500 pcm",monthly,Flat,1,1.0,"Blanchedowne, Camberwell","Beautifully presented and thoughtfully designed, this charming ground-floor studio offers a stylish and comfortable living space. Boasting a modern interior throughout, the property is move-in ready and designed to make the most of every inch of space The main studio room is bright and welcoming...",https://www.rightmove.co.uk/properties/167913068#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167913068,"Dexters, East Dulwich",255212,Reduced today,2025-10-07T13:48:31Z,,,2025-10-15T18:17:09.444179,"{'let available date': 'Ask agent', 'deposit': '£1,846A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,
168223658,1200,"£1,200 pcm",monthly,House,1,1.0,"Troutbeck Road, London, SE14","BILLS INCLUDED! Room 3, first floor with private ensuite shower room. A lovely double bedroom on the first floor, that has its own ensuite shower room. The shower room is a modern space and has a nice size cubicle, vanity wash basin and w.c.",https://www.rightmove.co.uk/properties/168223658#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168223658,"Leaders Lettings, Forest Hill",37163,Reduced today,2025-10-15T17:09:52Z,,SE14,2025-10-15T18:17:09.444187,"{'let available date': '04/11/2025', 'deposit': 'Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,
167615594,1450,"£1,450 pcm",monthly,Flat,1,1.0,"St Johns Park, Blackheath, SE3","** WALK THROUGH VIDEO ** Available NOW FURNISHED or UNFURNISHED, Ideal for sole occupation. Studio apartment on the first floor flat. The flat has its own front door and access to the communal rear garden with bike storage, off street limited parking or parking on road via residents permit.",https://www.rightmove.co.uk/properties/167615594#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167615594,"Your London, Greenwich",89638,Reduced today,2025-09-30T14:24:38Z,,SE3,2025-10-15T18:17:09.444192,"{'let available date': 'Now', 'deposit': 'Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",,,True,
167303591,1500,"£1,500 pcm",monthly,Flat,1,1.0,"Vandome Close, London E16","A large and modernized one double bedroom apartment spanning approximately 520 square feet and is conveniently located with just a 4 minute walk to Custom House DLR Station, and close to Western Gateway, and EXCEL. This spacious one double bedroom is based on the second floor and boasts a lar...",https://www.rightmove.co.uk/properties/167303591#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167303591,"BPS London, London",95999,Reduced today,2025-09-23T11:55:36Z,,E16,2025-10-15T18:17:09.444196,"{'let available date': 'Now', 'deposit': '£1,730A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,
168210467,1400,"£1,400 pcm",monthly,Flat,1,1.0,"Abbey Lane, LONDON",One Bedroom Flat - Available now. This charming 1-bedroom flat features a separate kitchen and private allocated parking — perfect for your convenience,https://www.rightmove.co.uk/properties/168210467#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168210467,"haart, Stratford - Lettings",134429,Added today,2025-10-15T15:09:04Z,,,2025-10-15T18:17:09.444200,"{'let available date': '27/10/2025', 'deposit': 'Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Part furnished', 'council tax': 'Ask agent'}",,,True,
167650712,1450,"£1,450 pcm",monthly,Apartment,1,1.0,"Rushey Green, London, SE6","No Deposit Option Available for Tenants. A fantastic one bedroom flat, situated in central Catford. The property comprises a large lounge opening onto a separate fitted kitchen, a spacious double bedroom with ample room for storage and a modern bathroom. Further benefits inc...",https://www.rightmove.co.uk/properties/167650712#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167650712,"Stirling Ackroyd Lettings, Brixton",48330,Reduced today,2025-10-01T10:23:53Z,,SE6,2025-10-15T18:17:09.444203,"{'let available date': '04/12/2025', 'deposit': '£1,673A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,
168209354,1500,"£1,500 pcm",monthly,Flat,1,1.0,"Norwood Road, Herne Hill",Stunning apartment with gallery style bedroom. Spacious open plan living area. Parking. Close to Herne Hill Station.,https://www.rightmove.co.uk/properties/168209354#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168209354,"Credential, Tooting",64891,Added today,2025-10-15T14:55:09Z,,,2025-10-15T18:17:09.444210,"{'let available date': '06/12/2025', 'deposit': '£1,730A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Part furnished', 'council tax': 'Ask agent'}",,,True,
95816894,1450,"£1,450 pcm",monthly,Apartment,1,1.0,"Pullman Court, Streatham Hill, London, SW2","A one bedroom purpose built flat in a Grade II listed modernist block on Streatham Hill. The property benefits from having new secondary glazing, new electrical heaters and is ideally placed for easy access to Brixton, Balham, Clapham and Tulse Hill.",https://www.rightmove.co.uk/properties/95816894#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=95816894,"Winkworth, Streatham",34334,Added today,2020-08-07T22:10:43Z,,SW2,2025-10-15T18:17:09.444213,"{'let available date': '17/12/2025', 'deposit': '£0A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",442.0,41.0,True,
168193919,1300,"£1,300 pcm",monthly,Maisonette,1,1.0,"Catford Hill, Catford, SE6",A UNIQUE OPPORTUNITY TO RENT THIS ONE DOUBLE BEDROOM FIRST AND SECOND (TOP) FLOOR MAISONETTE GREAT FOR CATFORD STATION. AN EARLY VIEWING IS ADVISED.,https://www.rightmove.co.uk/properties/168193919#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168193919,"Key Property Consultants, Welling",275849,Added today,2025-10-15T11:34:58Z,,SE6,2025-10-15T18:17:09.444217,"{'let available date': '25/10/2025', 'deposit': '£1,500A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,
