id,price,price_display,frequency,property_type,bedrooms,bathrooms,address,summary,property_url,contact_url,branch,branch_id,added_or_reduced,first_visible_date,let_type,postcode,search_date,letting_details,property_size_sqft,property_size_sqm,scraping_success,scraping_error
163715369,1350,"£1,350 pcm",monthly,Flat,1,1.0,"St. Johns Road, Isleworth, TW7","Summary   Woodland Estate Agents are delighted to present this beautifully presented one-bedroom ground floor flat located in the heart of Isleworth, just moments from Isleworth Station, local buses, and shops. This modern property is ideal for professionals looking for comfort, and...",https://www.rightmove.co.uk/properties/163715369#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=163715369,"Woodlands, Isleworth",115159,Reduced on 10/09/2025,2025-06-24T10:34:38Z,,TW7,2025-10-15T18:49:23.151444,"{'let available date': 'Now', 'deposit': '£1,557', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,TRUE,
168227648,1450,"£1,450 pcm",monthly,Flat,1,1.0,"Raleigh Road, Haringey, London, N8","First floor, one bedroom apartment set in a period house, situated on the Haringey ladder. Accomidation comprises double bedroom, fully fitted kitchen diner, separate spacious reception and modern bathroom, furnished. The property will be offered newly decorated throughout. further benefits inclu...",https://www.rightmove.co.uk/properties/168227648#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168227648,"Paul Simon Estate Agents, London",45303,Added today,2025-10-15T18:34:07Z,,N8,2025-10-15T18:49:23.151594,"{'let available date': '18/11/2025', 'deposit': '£1,673', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,TRUE,
168040472,346,"£1,499 pcm",weekly,Flat,2,1.0,"High Street, South Norwood",Absolute Living are delighted to market this bright and spacious two bed flat close to Norwood Junction Station. The property comes furnished and is Available Now.,https://www.rightmove.co.uk/properties/168040472#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168040472,"Absolute Living, London",91853,Reduced today,2025-10-09T14:48:39Z,,,2025-10-15T18:49:23.151601,"{'let available date': '18/10/2025', 'deposit': '£1,730', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,TRUE,
168224954,1500,"£1,500 pcm",monthly,Flat,2,1.0,"Tufton Road, London","Kings are delighted to offer to rent this 2 bedroom apartment located in Chingford Mount. Put on the market in excellent condition this property benefits from a fully fitted kitchen supplied with white goods, modern interior throughout, gas central heating and 2 double bedrooms. A must see p...",https://www.rightmove.co.uk/properties/168224954#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168224954,"Kings Group, Walthamstow - Lettings",28985,Added today,2025-10-15T17:27:06Z,,,2025-10-15T18:49:23.151604,"{'let available date': '03/11/2025', 'deposit': 'Ask agent', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,TRUE,
167913068,1500,"£1,500 pcm",monthly,Flat,1,1.0,"Blanchedowne, Camberwell","Beautifully presented and thoughtfully designed, this charming ground-floor studio offers a stylish and comfortable living space. Boasting a modern interior throughout, the property is move-in ready and designed to make the most of every inch of space The main studio room is bright and welcoming...",https://www.rightmove.co.uk/properties/167913068#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167913068,"Dexters, East Dulwich",255212,Reduced today,2025-10-07T13:48:31Z,,,2025-10-15T18:49:23.151606,"{'let available date': 'Ask agent', 'deposit': '£1,846', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,TRUE,
168223802,1400,"£1,400 pcm",monthly,Apartment,1,1.0,"Vellum Court, Hillyfield, Waltham Forest, E17",Modern One Bed Flat with Private Terrace & Designated Underground Parking - 10 Min Walk to Blackhorse Road Station - Ideal for Professionals - Available from 29th November,https://www.rightmove.co.uk/properties/168223802#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168223802,"Sterling Sales & Lettings, London",285659,Added today,2025-10-15T17:10:37Z,,E17,2025-10-15T18:49:23.151608,"{'let available date': '29/11/2025', 'deposit': '£1,615', 'min. tenancy': '6 months', 'let type': 'Long term', 'furnish type': 'Ask agent', 'council tax': 'Ask agent'}",,,TRUE,
168222701,1300,"£1,300 pcm",monthly,Flat,1,1.0,"Albert Road, Mottingham, London, SE9","This well-maintained property offers a bright lounge separate from a fully equipped kitchen, providing plenty of space for cooking and relaxing. The comfortable double bedroom is perfect for singles or couples. Residents also benefit from access to a communal garden, a peaceful outdoo...",https://www.rightmove.co.uk/properties/168222701#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168222701,"Leaders Lettings, Bromley",15224,Reduced today,2025-10-15T16:56:51Z,,SE9,2025-10-15T18:49:23.151612,"{'let available date': 'Now', 'deposit': 'Ask agent', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,TRUE,
168219689,1300,"£1,300 pcm",monthly,Flat,1,1.0,"Heath Road, Twickenham","Located on Twickenham high street is this newly redecorated apartment. Spread across over 880 sq feet of living accommodation, the property has two double bedrooms, a large reception room and separate kitchen that opens onto a south facing roof terrace with plenty of room for entertaining.",https://www.rightmove.co.uk/properties/168219689#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168219689,"Dexters, Twickenham",84818,Added today,2025-10-15T16:26:46Z,,,2025-10-15T18:49:23.151615,"{'let available date': 'Ask agent', 'deposit': '£1,500', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,TRUE,
168218447,1350,"£1,350 pcm",monthly,Flat,1,1.0,"Regis Court, Longfield Drive, Mitcham, London","This spacious and modern flat in Mitcham, London is perfect for those looking for a comfortable and stylish place to call home. The flat features 1 bedroom and 1 bathroom, making it ideal for a single professional or couple.",https://www.rightmove.co.uk/properties/168218447#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168218447,"Sharpes Estates Ltd, Colliers Wood",5353,Added today,2025-10-15T16:19:06Z,,,2025-10-15T18:49:23.151616,"{'let available date': '09/11/2025', 'deposit': '£1,557', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,TRUE,
168218246,1500,"£1,500 pcm",monthly,Apartment,1,1.0,"Monmouth Grove, W5 borders","A newly decorated 1 bed ground floor flat in a small block of 6 flats , and enjoys direct access to communal gardens and its own allocated parking space. The flat has modern fittings to the kitchen & bathroom and is fully double glazed, which contributes to the EPC rating of C. Available imm...",https://www.rightmove.co.uk/properties/168218246#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168218246,"Russell Collins, Ealing - Lettings",62074,Added today,2025-10-15T16:17:18Z,,W5,2025-10-15T18:49:23.151619,"{'let available date': '16/10/2025', 'deposit': '£1,731', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Part furnished', 'council tax': 'Ask agent'}",,,TRUE,
