id,price,price_display,frequency,property_type,bedrooms,bathrooms,address,summary,property_url,contact_url,branch,branch_id,added_or_reduced,first_visible_date,let_type,postcode,search_date,letting_details,property_size_sqft,property_size_sqm,scraping_success,scraping_error,coordinates,distance_to_center_km,price_score,location_score,size_score,overall_score
87299397,1450,"£1,450 pcm",monthly,Flat,1,1.0,"Choumert Road, Peckham, London, SE15","ZERO DEPOSIT AVAILABLE. LONG LET. Presented in excellent condition throughout, this wonderful one bedroom flat is set within a superb modern development offering ample living space, quality fixtures, separate kitchen/dining room and double bedroom.",https://www.rightmove.co.uk/properties/87299397#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=87299397,"Foxtons, Peckham",66768,Added yesterday,2025-10-14T12:08:39Z,,SE15,2025-10-15T18:49:30.583872,"{'let available date': 'Ask agent', 'deposit': '£1,674', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",477.0,44.0,True,,"(51.4681258, -0.0679604)",6.077813676810385,78.88888888888889,87.84437264637923,44.0,75.49
167903633,1350,"£1,350 pcm",monthly,Flat,1,1.0,"Haydons Road, Wimbledon, London","This newly refurbished ground flat in Wimbledon, London is a stunning property that offers modern living in a highly sought-after area. The flat features one spacious bedroom, a stylish bathroom, and a cozy living area that opens up to a small patio, perfect for enjoying your morning coffee or ho...",https://www.rightmove.co.uk/properties/167903633#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167903633,"Sharpes Estates Ltd, Colliers Wood",5353,Reduced yesterday,2025-10-07T12:01:05Z,,,2025-10-15T18:49:28.011641,"{'let available date': 'Now', 'deposit': '£1,557', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",560.0,52.0,True,,"(51.4253627, -0.1883425)",10.126775135221884,81.11111111111111,79.74644972955623,52.0,74.74
168164504,1500,"£1,500 pcm",monthly,Flat,1,1.0,"Archdale Road, East Dulwich, SE22","This one's for you if... You’re someone who thrives in the sunshine, coffee in hand, book in lap, feet up in your own private garden. Whether it’s morning rituals or golden hour wind-downs, outdoor space isn’t a nice-to-have, it’s a non-negotiable. I...",https://www.rightmove.co.uk/properties/168164504#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168164504,"Paramount, London - Lettings",62636,Added on 17/09/2025,2025-10-13T15:34:40Z,,SE22,2025-10-15T18:49:33.363149,"{'let available date': 'Now', 'deposit': '£1,730', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",382.0,35.0,True,,"(51.4584829, -0.0732269)",6.688777221381762,77.77777777777779,86.62244555723647,35.0,72.76
87310233,1450,"£1,450 pcm",monthly,Flat,1,1.0,"Capworth Street, Leyton","** WELL PRESENTED FIRST FLOOR APARTMENT IN SOUGHT AFTER AREA IN LEYTON. MODERN FINISH THROUGHOUT. AVAILABLE NOW ** OC Homes are delighted to offer to the Lettings market, this spacious, modern one bedroom apartment, in a highly desirable area of Leyton. Situated in a prime location, with...",https://www.rightmove.co.uk/properties/87310233#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=87310233,"OC Homes, Leyton",71060,Added yesterday,2025-10-14T14:37:06Z,,,2025-10-15T18:49:28.011691,"{'let available date': '20/10/2025', 'deposit': '£1,673', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",480.0,45.0,True,,"(51.5689112, -0.0207158)",10.038436933859339,78.88888888888889,79.92312613228133,45.0,72.52
167440370,1500,"£1,500 pcm",monthly,Flat,1,1.0,"Hervey Road, London, SE3","Truepenny’s are delighted to offer to the market this beautifully presented one-bedroom apartment on the sought-after Hervey Road, SE3. Positioned on the second floor of an attractive period building, this charming home combines character and style with a high standard of finish throughout.",https://www.rightmove.co.uk/properties/167440370#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167440370,"Truepenny's Property Consultants, Charlton",228695,Reduced yesterday,2025-09-25T18:14:49Z,,SE3,2025-10-15T18:49:30.583842,"{'let available date': 'Now', 'deposit': '£1,903', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",541.0,50.0,True,,"(51.4737316, 0.0276065)",11.437843035305741,77.77777777777779,77.12431392938852,50.0,71.96
168022583,1500,"£1,500 pcm",monthly,Apartment,1,1.0,"Stirling Close, London, SW16",Newly Refurbished One Bedroom Apartment ,https://www.rightmove.co.uk/properties/168022583#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168022583,"SLM Estate Agency, London",291020,Added on 09/10/2025,2025-10-09T11:16:43Z,,SW16,2025-10-15T18:49:43.835083,"{'let available date': 'Ask agent', 'deposit': 'Ask agent', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",507.0,47.12,True,,"(51.4107862, -0.1400552)",10.861399216394753,77.77777777777779,78.2772015672105,47.12,71.85
166461398,1500,"£1,500 pcm",monthly,Flat,1,1.0,"Hopkins Road, Leyton E10","1 Bedroom First Floor Flat - Hopkins Road, Leyton E10",https://www.rightmove.co.uk/properties/166461398#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=166461398,"In Estates, London",38897,Reduced on 10/10/2025,2025-09-01T17:56:19Z,,E10,2025-10-15T18:49:38.504374,"{'let available date': '27/10/2025', 'deposit': '£1,730', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Part furnished', 'council tax': 'Ask agent'}",,46.0,True,,"(51.571223, -0.0115896)",10.682030272826704,77.77777777777779,78.63593945434658,46.0,71.77
168188246,1450,"£1,450 pcm",monthly,Apartment,1,1.0,"Goldsmith Road, Leyton","Petty Son and Prestwich are delighted to offer for rent this spacious one bedroom ground floor flat that has been recently refurbished. Located on the popular Goldsmith Road, with great access to Leyton underground station (0.5miles).",https://www.rightmove.co.uk/properties/168188246#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168188246,"Petty Son & Prestwich Ltd, London",70202,Added today,2025-10-15T10:29:38Z,,,2025-10-15T18:49:25.586964,"{'let available date': '08/11/2025', 'deposit': '£1,673', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",437.0,41.0,True,,"(51.5653046, -0.0161817)",10.013539765308973,78.88888888888889,79.97292046938205,41.0,71.74
167991914,1500,"£1,500 pcm",monthly,Flat,1,1.0,"Dawlish Road, Leyton E10",ALLEN DAVIES are delighted to offer FOR RENT a ONE BEDROOM first floor flat. The property has been RECENTLY REFURBISHED throughout by the present owner and is AVAILABLE NOW. The property is situated close to the popular FRANCIS ROAD AREA and convenient for both BUS and UNDERGROUND.,https://www.rightmove.co.uk/properties/167991914#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167991914,"Allen Davies & Co, Leyton",6944,Added on 08/10/2025,2025-10-08T15:15:06Z,,E10,2025-10-15T18:49:35.769194,"{'let available date': 'Now', 'deposit': '£1,730', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",474.0,44.0,True,,"(51.5645842, -0.0086134)",10.375604742200233,77.77777777777779,79.24879051559954,44.0,71.61
18832358,1400,"£1,400 pcm",monthly,Flat,2,1.0,"Baker Street,Enfield,EN1",WHOLE TOP FLOOR - large two-bedroom unfurnished apartment situated above a public house. Two double bedrooms. Small kitchen with cooker and fridge freezer. Use of pub car park for one car (when available). No pets. No smokers. No children. Available November.,https://www.rightmove.co.uk/properties/18832358#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=18832358,"County Lettings Ware Ltd, Ware",44054,Added yesterday,2008-01-10T15:17:49Z,,EN1,2025-10-15T18:49:28.011671,"{'let available date': 'Ask agent', 'deposit': 'Ask agent', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",710.0,66.0,True,,"(51.665132, -0.0742126)",17.8588314940472,80.0,64.2823370119056,66.0,70.91
