id,price,price_display,frequency,property_type,bedrooms,bathrooms,address,summary,property_url,contact_url,branch,branch_id,added_or_reduced,first_visible_date,let_type,postcode,search_date,letting_details,property_size_sqft,property_size_sqm,scraping_success,scraping_error,coordinates,distance_to_center_km,price_score,location_score,size_score,overall_score,size_data_status,geocoding_status
167966717,345,"£1,495 pcm",weekly,Flat,1,1.0,"Chapter Road, Willesden Green","This one bedroom top floor flat in Willesden Green has a spacious open plan living area with a contemporary kitchen, a well sized bedroom and tiled bathroom. The flat has neutral decor throughout and is situated close to local amenities and transport links.",https://www.rightmove.co.uk/properties/167966717#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167966717,"Dexters, Cricklewood",72541,Reduced on 13/10/2025,2025-10-08T09:32:13Z,,,2025-10-15T18:49:35.769187,"{'let available date': 'Ask agent', 'deposit': '£1,845', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,"(51.4857711, -0.101756)",3.0647449375193485,100.0,93.8705101249613,43.729438202247195,86.29,estimated,geocoded
166296290,335,"£1,452 pcm",weekly,Apartment,1,,"Shepherds Bush Road, LONDON","Recently Fully refurbished large studio lower ground apartment. The apartment features separate eat in kitchen with sleek integrated kitchen appliances, worktops and a washer/dryer. Carpet flooring and a small patio area. Over 300 sqft available early October The apartment has additional ...",https://www.rightmove.co.uk/properties/166296290#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=166296290,"Barnard Marcus Lettings, West Kensington - Lettings",50966,Added on 28/08/2025,2025-08-28T10:34:21Z,,,2025-10-15T18:50:16.521116,"{'let available date': 'Now', 'deposit': 'Ask agent', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",,,True,,"(51.501156, -0.2219707)",6.5978742220614235,100.0,86.80425155587716,43.729438202247195,83.47,estimated,geocoded
167971880,335,"£1,452 pcm",weekly,Flat,1,1.0,"Fortune Green Road, West Hampstead NW6",Cedar Estates are delighted to offer this 1-bedroom flat with a private patio conveniently located a short walk from the shops and transport links of West Hampstead. The property consists of a modern open plan kitchen with laminate flooring and a fully tiled bathroom.,https://www.rightmove.co.uk/properties/167971880#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167971880,"Cedar Estates, West Hampstead",79883,Added on 08/10/2025,2025-10-08T10:43:21Z,,NW6,2025-10-15T18:49:46.492450,"{'let available date': 'Now', 'deposit': 'Ask agent', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",,,True,,"(51.5526977, -0.1930498)",6.726699374390917,100.0,86.54660125121816,43.729438202247195,83.36,estimated,geocoded
168005612,300,"£1,300 pcm",weekly,Flat,1,1.0,"Hudson Close, White City Estate","This lovely one bedroom flat has recently been refurnished and offers a spacious lounge, with a newly fitted open plan kitchen and tiled bathroom.",https://www.rightmove.co.uk/properties/168005612#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168005612,"Fletchers, Brook Green",50719,Reduced yesterday,2025-10-08T18:56:31Z,,,2025-10-15T18:49:28.011687,"{'let available date': 'Ask agent', 'deposit': '£1,500', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",,,True,,"(51.5127782, -0.2320877)",7.272670434432964,100.0,85.45465913113406,43.729438202247195,82.93,estimated,geocoded
165653903,346,"£1,499 pcm",weekly,Flat,1,1.0,"White City Estate, Shepherds Bush","This lovely one bedroom flat has recently been refurnished and offers a spacious lounge, with a newly fitted open plan kitchen and tiled bathroom.",https://www.rightmove.co.uk/properties/165653903#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=165653903,"Fletchers, Brook Green",50719,Reduced on 01/10/2025,2025-08-12T13:22:53Z,,,2025-10-15T18:49:59.184723,"{'let available date': 'Ask agent', 'deposit': '£1,730', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Ask agent', 'council tax': 'Ask agent'}",,,True,,"(51.5126389, -0.2326312)",7.309230445574748,100.0,85.3815391088505,43.729438202247195,82.9,estimated,geocoded
165738683,346,"£1,499 pcm",weekly,Flat,1,1.0,"White City Estate, Shepherds Bush",A large one bedroom property compromising a separate kitchen. The property has undergone a full re-paint and new carpet flooring.,https://www.rightmove.co.uk/properties/165738683#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=165738683,"Dexters, Shepherds Bush",84833,Reduced on 01/10/2025,2025-08-14T10:59:26Z,,,2025-10-15T18:49:59.184719,"{'let available date': 'Ask agent', 'deposit': '£1,730', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",,,True,,"(51.5126389, -0.2326312)",7.309230445574748,100.0,85.3815391088505,43.729438202247195,82.9,estimated,geocoded
166847507,323,"£1,400 pcm",weekly,Flat,1,1.0,"Cricklewood Lane, Cricklewood NW2","As sole agents, we are delighted to offer this well proportioned one-bedroom flat, located on the ground floor of a purpose-built block situated just moments from Cricklewood Thameslink station, this property offers excellent convenience and accessibility.",https://www.rightmove.co.uk/properties/166847507#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=166847507,"Cedar Estates, West Hampstead",79883,Added on 10/09/2025,2025-09-10T17:44:22Z,,NW2,2025-10-15T18:50:14.111245,"{'let available date': 'Now', 'deposit': 'Ask agent', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",,,True,,"(51.5497553, -0.2204186)",7.935288807365541,100.0,84.12942238526892,43.729438202247195,82.4,estimated,geocoded
168080051,306,"£1,326 pcm",weekly,Apartment,1,1.0,"Atelier Court North, Leven Road, London, E14","Modern 1-bed apartment in Atelier Court, E14. Bright open-plan living/kitchen area, private balcony, stylish bathroom, lift access & secure entry. Moments from Langdon Park DLR & close to Canary Wharf. Ideal for professionals or couples. Book your viewing today!",https://www.rightmove.co.uk/properties/168080051#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168080051,"Sanctuary Housing, Sanctuary Housing",117370,Added on 13/10/2025,2025-10-13T17:11:21Z,,E14,2025-10-15T18:49:33.363210,"{'let available date': 'Now', 'deposit': '£1,836', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,"(51.5167933, -0.0075744)",8.388315419802396,100.0,83.22336916039521,43.729438202247195,82.04,estimated,geocoded
164827133,323,"£1,400 pcm",weekly,Flat,2,1.0,"Cheviot Gardens, Golders Green Estate","This well presented top floor conversion is bight and spacious with a separate reception, fitted modern kitchen, a well sized double bedroom and a further room. The flat is has been recently refurbished and is ideally situated in the Golders Green Estate.",https://www.rightmove.co.uk/properties/164827133#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=164827133,"Dexters, Cricklewood",72541,Reduced on 03/10/2025,2025-07-22T19:21:17Z,,,2025-10-15T18:49:56.802786,"{'let available date': 'Ask agent', 'deposit': '£1,955', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Part furnished', 'council tax': 'Ask agent'}",,,True,,"(51.5643175, -0.2131995)",8.625368117739136,100.0,82.74926376452173,43.729438202247195,81.85,estimated,geocoded
87315885,1500,"£1,500 pcm",monthly,Apartment,1,1.0,"Grove Place, Eltham, London, SE9",Modern spacious one bedroom apartment in newly constructed portered development in prime Eltham location ,https://www.rightmove.co.uk/properties/87315885#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=87315885,"jdm, Greenwich",250727,Added yesterday,2025-10-14T15:49:51Z,,SE9,2025-10-15T18:49:28.011667,"{'let available date': '20/10/2025', 'deposit': '£1,730', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",673.0,63.0,True,,"(51.4893335, -0.1440551)",2.380153846150935,77.77777777777779,95.23969230769814,63.0,81.81,actual,geocoded
