id,price,price_display,frequency,property_type,bedrooms,bathrooms,address,summary,property_url,contact_url,branch,branch_id,added_or_reduced,first_visible_date,let_type,postcode,search_date,letting_details,property_size_sqft,property_size_sqm,scraping_success,scraping_error,coordinates,distance_to_center_km,price_score,location_score,size_score,overall_score
167852945,1450,"£1,450 pcm",monthly,Flat,1,1.0,"Charlton Road, N9","Target Property is delighted to present this attractive rental opportunity, ideally suited for professionals, couples, or families looking for a comfortable and well-located home. The property offers a blend of modern living and convenience, with access to local amenities and transport links. Ear...",https://www.rightmove.co.uk/properties/167852945#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167852945,"Target Property, Cheshunt",74120,Added on 06/10/2025,2025-10-06T13:16:10Z,,N9,2025-10-15T18:49:51.505908,"{'let available date': 'Now', 'deposit': '£1,450', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",1120.0,104.0,True,,"(51.4795057, 0.0272473)",11.214823192619201,78.88888888888889,77.5703536147616,100.0,82.58
167981456,1500,"£1,500 pcm",monthly,Flat,1,1.0,"Robin Hood Way, Kingston Vale, London, SW15","ZERO DEPOSIT AVAILABLE. LONG LET. A highly desirable location moments from Richmond Park, this spacious 1-bedroom apartment offers good size rooms throughout. Located in a fantastic location with lots of amenities close by.",https://www.rightmove.co.uk/properties/167981456#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167981456,"Foxtons, Kingston",57272,Added on 08/10/2025,2025-10-08T12:46:40Z,,SW15,2025-10-15T18:49:46.492428,"{'let available date': 'Ask agent', 'deposit': '£1,731', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Part furnished', 'council tax': 'Ask agent'}",1166.0,108.0,True,,"(51.4329297, -0.2567637)",12.26760003506499,77.77777777777779,75.46479992987003,100.0,81.3
160874993,1400,"£1,400 pcm",monthly,Flat,1,1.0,"Trafalgar Avenue, London, SE15",We are proud to present to the lettings market this beautiful 1 bedroom flat in characteristic Victorian terrace,https://www.rightmove.co.uk/properties/160874993#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=160874993,"ROCKWELL GREEN PROPERTIES LIMITED, London",288347,Reduced on 28/04/2025,2025-04-18T10:06:53Z,,SE15,2025-10-15T18:50:21.311034,"{'let available date': 'Now', 'deposit': '£1,400', 'min. tenancy': '6 months', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",550.0,51.0,True,,"(51.4856411, -0.0740773)",4.478724189097558,80.0,91.04255162180489,51.0,78.62
87299397,1450,"£1,450 pcm",monthly,Flat,1,1.0,"Choumert Road, Peckham, London, SE15","ZERO DEPOSIT AVAILABLE. LONG LET. Presented in excellent condition throughout, this wonderful one bedroom flat is set within a superb modern development offering ample living space, quality fixtures, separate kitchen/dining room and double bedroom.",https://www.rightmove.co.uk/properties/87299397#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=87299397,"Foxtons, Peckham",66768,Added yesterday,2025-10-14T12:08:39Z,,SE15,2025-10-15T18:49:30.583872,"{'let available date': 'Ask agent', 'deposit': '£1,674', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",477.0,44.0,True,,"(51.4681258, -0.0679604)",6.077813676810385,78.88888888888889,87.84437264637923,44.0,75.49
166864766,1500,"£1,500 pcm",monthly,Flat,2,1.0,"Baizdon Road, London, SE3","""Cosy 2-bed flat in prime location. Bright living space, separate kitchen, private balcony. Residents' permit parking. EPC rating C (71), council tax band C.",https://www.rightmove.co.uk/properties/166864766#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=166864766,"Kallars, London",289823,Reduced on 02/10/2025,2025-09-11T10:42:12Z,,SE3,2025-10-15T18:49:59.184692,"{'let available date': 'Now', 'deposit': '£1,730', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Part furnished', 'council tax': 'Ask agent'}",667.0,62.0,True,,"(51.4680206, 0.0040514)",10.173624603765601,77.77777777777779,79.6527507924688,62.0,75.37
167994068,1450,"£1,450 pcm",monthly,Flat,1,1.0,"High Road, Wood Green, N22","Great location! Havilands present this 1 bed flat just moments walk from Wood Green underground station (zone 3 Piccadilly line) and all the local amenities - shops and restaurants. The flat benefits from a large kitchen/diner, lounge, bedroom and spacious bathroom. Suitable for professional coup...",https://www.rightmove.co.uk/properties/167994068#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167994068,"Havilands, London",82874,Added on 08/10/2025,2025-10-08T15:37:40Z,,N22,2025-10-15T18:49:46.492380,"{'let available date': 'Now', 'deposit': '£1,450', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Ask agent', 'council tax': 'Ask agent'}",603.0,56.0,True,,"(51.5920697, -0.1053176)",9.469356641797235,78.88888888888889,81.06128671640553,56.00000000000001,75.18
167924939,1500,"£1,500 pcm",monthly,Flat,1,0.0,"Grove Vale, London","Nestled in the vibrant area of Grove Vale, London, this charming one-bedroom flat offers a delightful blend of period features and modern comforts. Spanning an inviting 463 square feet, the property has been thoughtfully refurbished to create a warm and welcoming atmosphere. The flat boa...",https://www.rightmove.co.uk/properties/167924939#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167924939,"Hammonds, London",39003,Added on 07/10/2025,2025-10-07T15:56:33Z,,,2025-10-15T18:49:48.893149,"{'let available date': 'Now', 'deposit': '£1,730', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",463.0,43.0,True,,"(51.4614378, -0.0787173)",6.203369894945749,77.77777777777779,87.5932602101085,43.0,74.75
167903633,1350,"£1,350 pcm",monthly,Flat,1,1.0,"Haydons Road, Wimbledon, London","This newly refurbished ground flat in Wimbledon, London is a stunning property that offers modern living in a highly sought-after area. The flat features one spacious bedroom, a stylish bathroom, and a cozy living area that opens up to a small patio, perfect for enjoying your morning coffee or ho...",https://www.rightmove.co.uk/properties/167903633#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167903633,"Sharpes Estates Ltd, Colliers Wood",5353,Reduced yesterday,2025-10-07T12:01:05Z,,,2025-10-15T18:49:28.011641,"{'let available date': 'Now', 'deposit': '£1,557', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",560.0,52.0,True,,"(51.4253627, -0.1883425)",10.126775135221884,81.11111111111111,79.74644972955623,52.0,74.74
168004529,1500,"£1,500 pcm",monthly,Flat,1,1.0,Buchan Road London SE15,"Acorn are delighted to offer this stunning one bedroom flat to let. Perfect for a professional couple or single, the property is ideally located within a short walk of both Queens Road and Nunhead train stations. Energy Efficiency Rating - D",https://www.rightmove.co.uk/properties/168004529#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168004529,"Acorn, Peckham Rye",50692,Reduced on 07/10/2025,2025-10-08T18:03:47Z,,SE15,2025-10-15T18:49:51.505853,"{'let available date': '25/10/2025', 'deposit': '£1,731', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",479.0,45.0,True,,"(51.4656606, -0.0532739)",6.996300043190462,77.77777777777779,86.00739991361908,45.0,74.51
167931074,1400,"£1,400 pcm",monthly,Flat,1,1.0,"Archdale Road, East Dulwich, SE22","This one's for you if... Light, space, and simplicity come together beautifully in this Dulwich home. With wooden floors underfoot, an open-plan kitchen and living space filled with natural light, and a well-proportioned bedroom and bathroom, it’s the kind of place that feels eas...",https://www.rightmove.co.uk/properties/167931074#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167931074,"Paramount, London - Lettings",62636,Added on 07/10/2025,2025-10-07T17:06:03Z,,SE22,2025-10-15T18:49:48.893136,"{'let available date': 'Now', 'deposit': '£1,615', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",412.0,38.0,True,,"(51.4584829, -0.0732269)",6.688777221381762,80.0,86.62244555723647,38.0,74.25
