id,price,price_display,frequency,property_type,bedrooms,bathrooms,address,summary,property_url,contact_url,branch,branch_id,added_or_reduced,first_visible_date,let_type,postcode,search_date,letting_details,property_size_sqft,property_size_sqm,scraping_success,scraping_error,distance_to_chinatown_km,drive_time_to_chinatown_minutes,price_score,distance_score,size_score,combined_score
168155333,1650,"£1,650 pcm",monthly,Apartment,2,2.0,"Wandle Road, Beddington","Oaks Estate Agents are excited to present to the market this stunning two-bedroom, two-bathroom, converted mill loft apartment situated in the heart of Beddington, close to Beddington Park.",https://www.rightmove.co.uk/properties/168155333#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168155333,"Oaks Estate Agents, Croydon- Lettings",235208,Added on 13/10/2025,2025-10-13T13:41:56Z,,,2025-10-16T17:42:11.118235,"{'let available date': '25/10/2025', 'deposit': '£1,903', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,19.54,62.0,,,,
168273833,1700,"£1,700 pcm",monthly,Flat,2,1.0,"338, London",A two double bedroom conversion flat in the heart of Brixton,https://www.rightmove.co.uk/properties/168273833#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168273833,"Prospect London, London",197495,Added today,2025-10-16T17:06:33Z,,,2025-10-16T17:42:11.118393,"{'let available date': '03/11/2025', 'deposit': '£1,700', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,5.89,28.8,,,,
168272657,1400,"£1,400 pcm",monthly,Flat,2,1.0,"Carr Road, Lloyd Park, Walthamstow E17","** Zero Deposit Guarantee Available **
**PLEASE NOTE: minor repairs required, can be rented 'as is' for £1400pcm or increased to £1800pcm if Landlord carries out the works**. Two double bedroom ground floor Warner flat with garden on the Lloyd Park Estate. Available now on an unfurnished basis.",https://www.rightmove.co.uk/properties/168272657#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168272657,"Bairstow Eves Lettings, Walthamstow",30467,Added today,2025-10-16T16:52:57Z,,E17,2025-10-16T17:42:11.118401,"{'let available date': 'Now', 'deposit': '£1,615', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,14.24,55.8,,,,
73874330,1695,"£1,695 pcm",monthly,Apartment,2,1.0,"Hendon Hall Court, Parson Street, Hendon, NW4","Excellent condition large two double bedroom 2nd floor apartment, sought after gated p/b block, large reception with a private balcony, modern kitchen with all machines, fully double glazed, modern bathroom, lift, OFF STREET PARKING, close to numerous shopping & transport amenities.",https://www.rightmove.co.uk/properties/73874330#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=73874330,"NH Properties, London",143456,Added today,2018-06-15T16:30:50Z,,NW4,2025-10-16T17:42:11.118407,"{'let available date': '05/11/2025', 'deposit': '£1,955', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Part furnished', 'council tax': 'Ask agent'}",710.0,66.0,True,,14.2,43.7,12.11,89.08,45.93,49.04
168151730,1750,"£1,750 pcm",monthly,Maisonette,2,1.0,"Bakers End, London","This brand newly refurbished 1st floor maisonette for rent in Raynes Park is a stunning property that is sure to impress. The maisonette features 2 bedrooms, including a double room and a single room, both equipped with fitted wardrobes for ample storage space.",https://www.rightmove.co.uk/properties/168151730#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168151730,"Sharpes Estates Ltd, Colliers Wood",5353,Reduced today,2025-10-13T12:44:03Z,,,2025-10-16T17:42:11.118411,"{'let available date': 'Now', 'deposit': '£2,019', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Ask agent', 'council tax': 'Ask agent'}",484.0,45.0,True,,16.32,53.9,0.0,86.32,30.37,38.9
168267899,1650,"£1,650 pcm",monthly,Maisonette,2,1.0,Westmead Road Sutton SM1,Modern two bedroom maisonette located within easy reach of central Sutton .,https://www.rightmove.co.uk/properties/168267899#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168267899,"Cubitt & West Residential Lettings, Sutton",82928,Added today,2025-10-16T16:03:38Z,,SM1,2025-10-16T17:42:11.118413,"{'let available date': '25/10/2025', 'deposit': '£1,904', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,20.15,60.7,,,,
168266408,1500,"£1,500 pcm",monthly,Apartment,2,1.0,"Chantry Close, Abbey Wood","Two Bedroom Top 3rd Floor Apartment Prime Location in Abbey Wood, Chantry Close is approximately 100 to 120 metres from Abbey Wood Station an easy 1 2 minute walk. Ideal for commuters with direct access to the Elizabeth Line. Available the beginning of November.",https://www.rightmove.co.uk/properties/168266408#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168266408,"Able Estates, South East London",8201,Added today,2025-10-16T15:45:04Z,,,2025-10-16T17:42:11.118417,"{'let available date': '03/11/2025', 'deposit': '£1,730', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",560.0,52.0,True,,24.56,60.6,55.07,75.6,35.56,55.41
168266405,1750,"£1,750 pcm",monthly,Flat,2,0.0,"Chalkwell Park Avenue, Enfield Town",Introducing to the market this well-presented two-bedroom flat located in the heart of Enfield Town.,https://www.rightmove.co.uk/properties/168266405#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168266405,"Filey Properties, Enfield",271697,Added today,2025-10-16T15:45:03Z,,,2025-10-16T17:42:11.118419,"{'let available date': 'Now', 'deposit': '£2,019', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,18.72,58.5,,,,
168265973,1750,"£1,750 pcm",monthly,Terraced,2,1.0,"Hawthorn Grove, Enfield EN2 0DS","This lovely and well presented  terraced cottage  is situated in a quiet residential road. With two double bedrooms, two reception rooms, bathroom with bath and separate shower cubicle, fitted kitchen with appliances, large mature garden with patio, gas central heating and offered fully furnished...",https://www.rightmove.co.uk/properties/168265973#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168265973,"The Accommodating Company, Enfield",253739,Added today,2025-10-16T15:41:11Z,,EN2,2025-10-16T17:42:11.118422,"{'let available date': '01/11/2025', 'deposit': '£2,019', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,23.71,62.1,,,,
167206748,1650,"£1,650 pcm",monthly,Apartment,2,1.0,"Longmoor Point, Norley Vale, Roehampton",Available October 16th I Two Double Bedroom I Separate Lounge / Kitchen I Balcony Next Step Estates are delighted to offer this spacious two bedroom apartment located on the 5th floor which offers beautiful views of the surrounding area. The building is serviced by a lift. The (cont.),https://www.rightmove.co.uk/properties/167206748#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167206748,"Next Step Estates (South West) Ltd, London",184157,Added today,2025-09-19T16:30:22Z,,,2025-10-16T17:42:11.118424,"{'let available date': 'Now', 'deposit': '£1,900', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",,,True,,12.4,48.0,,,,
168264752,1450,"£1,450 pcm",monthly,Apartment,2,1.0,"High Street, London, SE25","Well presented two-bedroom flat located on the second floor, available to rent. Conveniently situated a short distance from Norwood Junction station. Offered unfurnished. Enquire now to arrange a viewing.",https://www.rightmove.co.uk/properties/168264752#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168264752,"Streets Ahead, South Norwood",181634,Added today,2025-10-16T15:24:58Z,,SE25,2025-10-16T17:42:11.118427,"{'let available date': '06/11/2025', 'deposit': '£1,673', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,16.69,52.9,,,,
148013678,1675,"£1,675 pcm",monthly,Flat,2,,"High Road Leyton, London, E10",Second-floor two-bedroom flat on High Road Leyton is available now,https://www.rightmove.co.uk/properties/148013678#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=148013678,"Yellands, South Woodford",62254,Added today,2024-05-15T12:36:40Z,,E10,2025-10-16T17:42:11.118429,"{'let available date': 'Ask agent', 'deposit': 'Ask agent', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Ask agent', 'council tax': 'Ask agent'}",,,True,,12.31,49.3,,,,
168263663,1600,"£1,600 pcm",monthly,Flat,2,1.0,"Hardcastle Close, Croydon, CR0",**AVAILABLE ASAP** - 2 BED FLAT - RECENTLY RENNOVATED WITH PARKING INCLUDED AND QUIET CUL-DE-SAC LOCATION,https://www.rightmove.co.uk/properties/168263663#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168263663,"Bairstow Eves Lettings, Croydon",3305,Added today,2025-10-16T15:10:41Z,,CR0,2025-10-16T17:42:11.118432,"{'let available date': '20/10/2025', 'deposit': '£1,846', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,21.98,61.8,,,,
167936144,1700,"£1,700 pcm",monthly,Flat,2,2.0,"Forelle Way, Carshalton, SM5",Belvoir is pleased to market this stunning two-bedroom 2-bath apartment located in a highly sought-after area of Carshalton Beeches.,https://www.rightmove.co.uk/properties/167936144#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167936144,"Belvoir, Sutton",67392,Reduced today,2025-10-07T17:52:15Z,,SM5,2025-10-16T17:42:11.118435,"{'let available date': 'Now', 'deposit': '£1,961', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,21.04,65.6,,,,
168262154,1600,"£1,600 pcm",monthly,Apartment,2,1.0,"The Broadway, Cheam, Sutton, SM3","NEWLY REFURBISHED FIRST FLOOR TWO BEDROOM APARTMENT BOASTING STORAGE. Located in the heart of Cheam Village, situated near to some of the area’s most sought after schools and local amenities in and around Cheam Village, including Cheam Station, ideal for commuters working in and aroun...",https://www.rightmove.co.uk/properties/168262154#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168262154,"Goodfellows, Cheam Village Lettings",72259,Added today,2025-10-16T14:50:49Z,,SM3,2025-10-16T17:42:11.118437,"{'let available date': 'Now', 'deposit': '£0', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Ask agent', 'council tax': 'Ask agent'}",,,True,,20.89,63.8,,,,
168261509,1700,"£1,700 pcm",monthly,Flat,2,1.0,"Arngask Road, LONDON, SE6","A well-presented two-bedroom first-floor conversion flat, ideally located just a short walk from Hither Green Station, offering convenient access to London Bridge via mainline services.The property comprises two bedrooms, a spacious reception room, and a newly refurbished kitchen and ba...",https://www.rightmove.co.uk/properties/168261509#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168261509,"Curran & Pinner, Bromley",74059,Added today,2025-10-16T14:42:55Z,,SE6,2025-10-16T17:42:11.118440,"{'let available date': '20/11/2025', 'deposit': '£1,961', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,14.74,50.4,,,,
87302541,1650,"£1,650 pcm",monthly,Apartment,2,,"Cheam Common Road, Worcester Park","**Zero Deposit Available**
This modern new-build two-bedroom flat offers bright and contemporary living in a sought-after Worcester Park location. Featuring a spacious open-plan kitchen and living area, the property is perfect for entertaining or relaxing, with direct access to a private balcony....",https://www.rightmove.co.uk/properties/87302541#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=87302541,"Barnard Marcus Lettings, Worcester Park - Lettings",125851,Reduced today,2025-10-14T12:48:26Z,,,2025-10-16T17:42:11.118442,"{'let available date': '31/10/2025', 'deposit': '£2,019', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,23.52,60.6,,,,
153591974,1750,"£1,750 pcm",monthly,Flat,2,1.0,"Dundee Road, London, E13",Lawlor present this recently renovated and much larger than average two double bedroom apartment as part of this private development situated only 10 minutes walk away from Plaistow underground station. The property comprises of a large lounge with a private balcony and opening to a fully fitted kit,https://www.rightmove.co.uk/properties/153591974#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=153591974,"Lawlors Estate Agents, Hayes",19332,Reduced today,2024-10-10T11:12:39Z,,E13,2025-10-16T17:42:11.118445,"{'let available date': 'Ask agent', 'deposit': 'Ask agent', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",,,True,,15.12,46.3,,,,
87341148,1700,"£1,700 pcm",monthly,Flat,2,1.0,"Canonbie Road, Forest Hill, London, SE23","A charming two-bedroom Victorian period conversion with a private roof terrace and amazing views to let on the very popular Canonbie Road in Forest Hill. This delightful property features a bright open-plan kitchen/living room, a modern bathroom suite, two bedrooms, and a private roof te...",https://www.rightmove.co.uk/properties/87341148#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=87341148,"Pedder, Forest Hill",21470,Added today,2025-10-16T13:51:21Z,,SE23,2025-10-16T17:42:11.118448,"{'let available date': 'Ask agent', 'deposit': '£1,961', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",445.0,41.0,True,,13.45,47.9,11.01,90.06,27.41,42.83
87340101,1600,"£1,600 pcm",monthly,Apartment,2,1.0,"Court Road, London, SE9",A recently renovated two bedroom apartment is set within moments' walk to Mottingham station and local amenities ,https://www.rightmove.co.uk/properties/87340101#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=87340101,"Stelfort, London",67576,Added today,2025-10-16T13:40:51Z,,SE9,2025-10-16T17:42:11.118450,"{'let available date': 'Ask agent', 'deposit': 'Ask agent', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",,,True,,22.55,51.8,,,,
167776703,1550,"£1,550 pcm",monthly,Flat,2,,"Church Lane, London, NW9","Located in Barons Court, Church Lane is this bright and spacious two double bedroom flat which is ready to move in to straight away. The property has been redecorated and has new flooring throughout.",https://www.rightmove.co.uk/properties/167776703#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167776703,"David Conway & Co, South Harrow - Sales",6116,Reduced today,2025-10-03T15:16:52Z,,NW9,2025-10-16T17:42:11.118453,"{'let available date': 'Ask agent', 'deposit': 'Ask agent', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Ask agent', 'council tax': 'Ask agent'}",,,True,,15.5,45.8,,,,
168092063,1550,"£1,550 pcm",monthly,Flat,2,,"Church Lane, London, NW9","**FURTHER PHOTOS TO FOLLOW**Located in Barons Court, Church Lane is this bright and spacious two double bedroom flat which is available in early November. The property in full comprises: welcoming entrance hall, modern kitchen, modern bathroom, spacious lounge with bay, two double bedrooms.",https://www.rightmove.co.uk/properties/168092063#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168092063,"David Conway & Co, South Harrow - Sales",6116,Reduced today,2025-10-10T15:38:45Z,,NW9,2025-10-16T17:42:11.118455,"{'let available date': 'Ask agent', 'deposit': 'Ask agent', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Ask agent', 'council tax': 'Ask agent'}",,,True,,15.5,45.8,,,,
87340008,1600,"£1,600 pcm",monthly,Apartment,2,1.0,"Court Road, London, SE9",A recently renovated two bedroom apartment is set within moments' walk to Mottingham station and local amenities ,https://www.rightmove.co.uk/properties/87340008#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=87340008,"Stelfort, London",67576,Added today,2025-10-16T13:39:32Z,,SE9,2025-10-16T17:42:11.118458,"{'let available date': 'Ask agent', 'deposit': 'Ask agent', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",,,True,,24.2,56.2,,,,
