id,price,price_display,frequency,property_type,bedrooms,bathrooms,address,summary,property_url,contact_url,branch,branch_id,added_or_reduced,first_visible_date,let_type,postcode,search_date,letting_details,property_size_sqft,property_size_sqm,scraping_success,scraping_error,edinburgh_distance_km,edinburgh_drive_time_minutes,edinburgh_transit_time_minutes,glasgow_distance_km,glasgow_drive_time_minutes,glasgow_transit_time_minutes
167070494,1750,"£1,750 pcm",monthly,Flat,2,1.0,"Manor Place, Edinburgh, EH3","DEPOSIT £500 - Two bedroom furnished property in Edinburgh. TO BOOK A VIEWING ONLINE, PLEASE FILL OUT THE CONTACT AGENT FORM.",https://www.rightmove.co.uk/properties/167070494#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167070494,"DJ Alexander, Edinburgh",29310,Reduced on 08/10/2025,2025-09-16T19:51:33Z,,EH3,2025-10-17T01:45:13.670604,"{'let available date': 'Now', 'deposit': '£500', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,1.98,4.8,31.6,74.82,57.1,182.4
168282200,1850,"£1,850 pcm",monthly,Flat,2,1.0,"Bedford Street, Edinburgh, EH4","2-Bedroom Apartment – Bedford Street, Stockbridge (EH4)Rent: £1,850 per month (excluding bills) Deposit: 6 weeks’ rent Size: 75 sqm / 807 sq ft EPC: C Council Tax: Band COccupancy: Max 2 peopleA... ** Property Reference: 2651040 **",https://www.rightmove.co.uk/properties/168282200#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168282200,"OpenRent, London",96668,Added yesterday,2025-10-16T23:10:18Z,,EH4,2025-10-17T01:45:13.670882,"{'let available date': '01/11/2025', 'deposit': '£2,562', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",807.0,,True,,6.91,12.0,32.7,69.63,50.5,136.0
168276653,1595,"£1,595 pcm",monthly,Detached,3,3.0,"Machrie Way, Fardalehill, Kilmarnock","**** STUNNING PROPERTY **** **** SHOWROOM CONDITION **** **** LANDSCAPED GARDENS **** **** DRIVEWAY AND GARAGE An absolutely stunning modern detached villa located in the highly desirable Fardalehill area in Kilmarnock, Ayrshire, Surrounded by beautifully landsca (cont.)",https://www.rightmove.co.uk/properties/168276653#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168276653,"ALLISON RESIDENTIAL LETTINGS LTD, Newton Mearns",144614,Reduced yesterday,2025-10-16T17:40:05Z,,,2025-10-17T01:45:13.670896,"{'let available date': '01/12/2025', 'deposit': '£3,190', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,112.21,83.3,166.1,37.24,32.5,97.2
168280088,1750,"£1,750 pcm",monthly,Flat,3,2.0,"Kilpatrick Grove, Edinburgh, EH6","ZERO DEPOSIT OPTION AVAILABLE Brand newly completed three bedroom apartment, available now. Furnished. Located in Leith, off South Fort Street, the Heron Bank development is a brand newly completed modern residential development by Barratt Homes. This sought after location is surround...",https://www.rightmove.co.uk/properties/168280088#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168280088,"DJ Alexander, Edinburgh",29310,Added yesterday,2025-10-16T19:51:15Z,,EH6,2025-10-17T01:45:13.670912,"{'let available date': 'Now', 'deposit': '£2,019', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",907.0,84.0,True,,4.5,10.2,25.4,76.6,60.9,119.8
168278237,1935,"£1,935 pcm",monthly,Apartment,2,2.0,"Anderston Quay, Glasgow, G3",PLATFORM_ has arrived in Glasgow to reimagine the rental experience.,https://www.rightmove.co.uk/properties/168278237#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168278237,"Property Sense, Covering Nationwide",269303,Added yesterday,2025-10-16T18:01:09Z,,G3,2025-10-17T01:45:13.670919,"{'let available date': 'Ask agent', 'deposit': 'Ask agent', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,76.68,60.8,79.0,1.94,8.6,26.7
167676725,1600,"£1,600 pcm",monthly,Flat,4,1.0,"High Street, Dalkeith, EH22",Spacious 4-Bedroom Flat in the Heart of Dalkeith This large four-bedroom flat is ideally located just a 2–3 minute walk from Dalkeith town centre and only 5 minutes from the renowned Dalkeith Co... ** Property Reference: 2644190 **,https://www.rightmove.co.uk/properties/167676725#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167676725,"OpenRent, London",96668,Reduced yesterday,2025-10-01T16:08:07Z,,EH22,2025-10-17T01:45:13.670925,"{'let available date': '27/10/2025', 'deposit': '£1,600', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,19.54,20.9,42.6,83.93,56.9,141.9
168272894,1500,"£1,500 pcm",monthly,Flat,2,2.0,"New Mart Place, Chesser, Edinburgh, EH14","Lovely and spacious, furnished, second floor flat in a modern development. This Property offers a Lounge, Kitchen, Two Double Bedrooms, Shower room and an Ensuite. Benefits from Gas Central Heating, Double Glazing and Private Parking. Professional and mature student let only. No pets.",https://www.rightmove.co.uk/properties/168272894#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168272894,"Littlejohns ltd, Edinburgh",224552,Added yesterday,2025-10-16T16:56:12Z,,EH14,2025-10-17T01:45:13.670930,"{'let available date': '05/11/2025', 'deposit': '£1,700', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,17.53,29.3,,70.21,56.8,
167473172,1485,"£1,485 pcm",monthly,Flat,2,1.0,"Canon Street, Edinburgh, EH3","DEPOSIT £500 - Furnished two bedroom flat to rent in Canonmills, Edinburgh TO BOOK A VIEWING ONLINE, PLEASE FILL OUT THE CONTACT AGENT FORM.",https://www.rightmove.co.uk/properties/167473172#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167473172,"DJ Alexander, Edinburgh",29310,Reduced yesterday,2025-09-26T12:21:54Z,,EH3,2025-10-17T01:45:13.670936,"{'let available date': 'Now', 'deposit': '£500', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,1.98,4.8,31.6,74.82,57.1,182.4
168267572,1500,"£1,500 pcm",monthly,Detached,5,2.0,"Green Wynd, Galashiels, Selkirkshire, TD1","1 Green Wynd is a detached home located in the Melrose Gait development on the outskirts of Galashiels. This is an Ockle home type with a flexible downstairs layout comprising living room, large kitchen/diner and dining room or fifth bedroom. LLRN: To be confirmedLARN 1903097",https://www.rightmove.co.uk/properties/168267572#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168267572,"EDWIN THOMPSON, Galashiels",230666,Added yesterday,2025-10-16T15:58:49Z,,TD1,2025-10-17T01:45:13.670942,"{'let available date': 'Now', 'deposit': '£2,250', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,48.98,48.3,104.1,114.73,83.2,168.9
167845598,1850,"£1,850 pcm",monthly,Flat,3,1.0,"Royal Park Terrace, Edinburgh","PropOp are delighted to present to the market this superb 4 bed HMO flat in Holyrood, Edinburgh.",https://www.rightmove.co.uk/properties/167845598#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167845598,"PropOp, Edinburgh",285023,Reduced yesterday,2025-10-06T11:34:02Z,,,2025-10-17T01:45:13.670947,"{'let available date': '22/10/2025', 'deposit': '£1,950', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,2.63,4.7,14.2,88.71,63.2,121.7
